scenario_id,block_type,recommended_order,scenario_type,risk_level,service_stringency,action_reversibility,complexity_score,ai_correct,error_direction,oracle_action_code,oracle_action_label,order_or_shipment_id,case_title,layer1_visible,detail_expand,ai_recommendation,ai_action_label,alt1_action_label,alt2_action_label,c_dir_ai,c_dir_alt1,c_dir_alt2,c_out_ai,c_out_alt1,c_out_alt2,c_total_ai,c_total_alt1,c_total_alt2,oracle_cost,second_best_cost,oracle_gap_points,ambiguity_gap_pct,ratio_2nd_best,uncertainty_trigger1,uncertainty_trigger2,recommended_check,uncertainty_more,trace_rationale_short,trace_key1,trace_key2,trace_key3,trace_more,feedback_ai_outcome,feedback_alt1_outcome,feedback_alt2_outcome,design_purpose,short_context_alias,cost_ai_visible_alias,cost_alt1_visible_alias,cost_alt2_visible_alias,outcome_ai_hidden_alias,outcome_alt1_hidden_alias,outcome_alt2_hidden_alias,full_case_word_count
P01,practice,1,Inventory Discrepancy,LOW,Std B2C,Reversible,1,1,—,AI,Approve,WH-P01-2047,Fresh stock record on a standard SKU,"Order WH-P01-2047 for SKU CHR-18 is due in 4 hours. WMS shows 24 units in the pick bin, the cycle count finished 90 minutes ago, and no abnormal movement has been flagged.","Reserve stock is available in a nearby location, but pulling from it adds walking and repacking time. The last 7 days show only a 2% variance rate for this SKU. The customer is standard B2C, so avoidable handling is more costly than the small residual risk in this case today.",AI recommends packing from the current bin because the record is fresh and a reserve pull would add handling without reducing meaningful risk.,Pack from current pick bin,Pause to check latest inbound/outbound scans,Pull from reserve location instead,40,140,100,40,60,120,80,200,220,80,200,120,1.5,2.5,Fresh count (90 min ago),Low variance history (2%),Review the last inbound and outbound scan pair in WMS.,This is a low-severity inventory exception with very limited downside if the record is accurate.,Fresh data supports direct execution with minimal friction.,Count age=90m,WMS stock=24,Variance rate=2%,"Audit log stores count timestamp, user approval, and stock snapshot.","The pick-bin record was correct, so the order shipped normally with only routine handling cost.","The manual check confirmed the stock, but the verification step consumed labor and time.","Reserve stock was available, but the extra travel and repack created needless handling cost.",Simplest practice case: teaches that approving a correct AI plan can be cheapest.,"Order WH-P01-2047 for SKU CHR-18 is due in 4 hours. WMS shows 24 units in the pick bin, the cycle count finished 90 minutes ago, and no abnormal movement has been flagged.",40,140,100,40,60,120,105
P02,practice,2,Carrier Disruption,MED,Promised-date,Partially Reversible,2,1,—,AI,Approve,SH-P02-3184,Carrier warning but promise still protected,"Shipment SH-P02-3184 is promised for tomorrow morning. The primary carrier now shows a 3-hour route delay, but the updated ETA still lands inside the customer promise. A backup carrier is available at a surcharge.","Six cartons are already palletized and labeled for the primary carrier. Switching now would require relabeling and a late pickup request. The customer has a promised-date order, not a contractual SLA. No broader weather escalation is reported in the latest carrier refresh, and the pickup window remains fully operational tonight.",AI recommends keeping the primary carrier because the promise window remains protected and switching adds avoidable friction cost.,Keep primary carrier and release shipment,Pause to confirm latest ETA and pickup window,Switch to backup carrier now,70,140,130,90,160,210,160,300,340,160,300,140,0.875,1.875,Carrier ETA slipped by ~3 hours,Promise window still protected,Check the latest ETA refresh and pickup cutoff in TMS.,"The situation looks disruptive, but not every delay justifies a costly carrier switch.",Current ETA remains inside the promised window.,ETA slip≈3h,Promise=Tomorrow AM,Backup carrier=Available,Audit log stores carrier update timestamp and dispatch decision.,"The route recovered enough to meet the promise, so waiting was still the cheapest acceptable choice.","The re-check confirmed the same ETA, but the pause created extra handling and coordination cost.","The backup carrier worked, but relabeling and premium pickup made the switch unnecessarily expensive.",Medium-complexity practice case: familiarizes participants with carrier logic while AI remains correct.,"Shipment SH-P02-3184 is promised for tomorrow morning. The primary carrier now shows a 3-hour route delay, but the updated ETA still lands inside the customer promise. A backup carrier is available at a surcharge.",70,140,130,90,160,210,102
P03,practice,3,Resource Allocation,HIGH,SLA Contract,Partially Reversible,3,0,Type II,ALT1,Verify,RA-P03-5521,Temp station may not be ready for urgent work,"Wave RA-P03-5521 has 18 orders, including 4 same-day orders. A temporary packer just logged in, but the required priority-order template may not have loaded on that station. AI proposes releasing urgent work across both stations immediately.","If the temporary lane is not configured correctly, every carton from that lane must be reopened and relabeled. Two replacement orders and two marketplace same-day orders sit in the urgent queue. Keeping everything on the senior lane is safer, but it can still slow the wave if the station is actually ready.",AI recommends releasing urgent work across both stations because using all visible capacity should reduce queue time and protect SLA exposure.,Release urgent work across both stations now,Pause to verify template and printer readiness,Keep urgent work on the senior station only,100,140,150,380,100,150,480,240,300,240,300,60,0.25,1.25,Unconfirmed temp-station configuration,4 same-day orders waiting,"Confirm template, printer mapping, and user login on the temp station.",A setup issue would convert a speed gain into a high rework event under time pressure.,Extra capacity helps only if the second lane is truly configured for the SLA wave.,Urgent orders=4,Temp station=Unverified,Rework risk=High,"Audit log stores station ID, template version, and readiness confirmation.","The temp station was not ready, so releasing work there caused reprint and reopen costs.","The readiness check caught the issue early; the wave slowed, but the major rework loss was avoided.","Keeping everything on the senior line was safe, but it left usable capacity idle once the issue was clarified.",Critical first AI-error practice case: teaches that Verify can be the correct override.,"Wave RA-P03-5521 has 18 orders, including 4 same-day orders. A temporary packer just logged in, but the required priority-order template may not have loaded on that station. AI proposes releasing urgent work across both stations immediately.",100,140,150,380,100,150,109
P04,practice,4,Inventory Discrepancy,MED,Promised-date,Partially Reversible,3,0,Type I,ALT2,Alternative,WH-P04-6640,Slot move creates a hidden stock mismatch,"Order WH-P04-6640 for three units of SKU CAB-77 is due tomorrow morning. WMS shows 8 units in the forward bin, but that location was re-slotted overnight and the reserve pallet has already been opened. AI proposes shipping from the forward bin.","Recent moves between pick faces have not fully synchronized, and one missing unit would hold the entire order. A nearby reserve zone can cover the order immediately, but it adds walking and second-touch handling. A manual check helps, yet it is slower than switching to confirmed reserve stock now for this order.",AI recommends shipping from the forward bin because the system quantity still covers demand and avoids extra handling.,Pack from current forward bin,Pause to reconcile slot-move and scan logs,Pull confirmed stock from reserve zone now,80,140,120,280,140,60,360,280,180,180,280,100,0.5555555555555556,1.5555555555555556,Overnight re-slot may be unsynced,Reserve stock is confirmed nearby,Check the slot-change log and the latest confirmed bin scan.,"The risk is not catastrophic, but a hidden mismatch can still break a promised-date order.","System stock looks sufficient, but slot-sync uncertainty weakens the direct path.",Forward bin=8,Reserve zone=Confirmed,Slot change=Overnight,Audit log stores location-change timestamp and reserve-zone confirmation.,"The forward bin was short by one unit, so the order stalled and required recovery work.","The reconciliation exposed the mismatch, but the pause delayed release more than an immediate reserve pull would have.","Reserve stock covered the order cleanly, so the extra handling cost was still lower than the failure path.",Critical second AI-error practice case: teaches that Alternative can be the correct override.,"Order WH-P04-6640 for three units of SKU CAB-77 is due tomorrow morning. WMS shows 8 units in the forward bin, but that location was re-slotted overnight and the reserve pallet has already been opened. AI proposes shipping from the forward bin.",80,140,120,280,140,60,111
P05,practice,5,Customer Service,LOW,Std B2C,Reversible,2,1,—,AI,Approve,CS-P05-1198,Small proactive recovery on a mild delay,Order CS-P05-1198 will arrive about 2 hours late. The customer is a repeat buyer but has not complained. AI proposes sending an automatic delay notice with a small goodwill coupon.,"The order value is moderate and the account has no recent escalations. Shipping is still on the same day, so the operational risk is limited. Doing nothing saves a small direct cost now, but can create an avoidable contact and complaint later if the delay surprises the customer during delivery.",AI recommends sending the notice and small coupon because a light proactive recovery is cheaper than handling a preventable complaint later.,Send notice and small coupon now,Pause to review recent order history,Do nothing and wait for customer contact,40,140,100,30,70,140,70,210,240,70,210,140,2,3,Foreseeable 2-hour delay,Repeat buyer account,Review the customer tier and recent-contact history in CRM.,This is a low-stakes service issue where overreaction is usually more expensive than a light touch.,A small proactive recovery usually prevents costlier follow-up contacts.,Delay≈2h,Customer=Repeat buyer,Coupon=Small,"Audit log stores CRM tier, offer sent, and message timestamp.",The message prevented a complaint and the small coupon resolved the issue efficiently.,"The review confirmed the same plan, but the extra checking added delay and handling cost.","No complaint occurred, so the heavier response created unnecessary recovery expense.","Practice case for customer-service logic: AI correct, but direct cost is not the whole story.",Order CS-P05-1198 will arrive about 2 hours late. The customer is a repeat buyer but has not complained. AI proposes sending an automatic delay notice with a small goodwill coupon.,40,140,100,30,70,140,101
P06,practice,6,SLA Pressure,HIGH,SLA Contract,Partially Reversible,3,1,—,AI,Approve,SLA-P06-7316,High-risk case where trusting AI is still correct,"Order SLA-P06-7316 must be handed to the outbound dock within 55 minutes to avoid an OTIF failure. The standard gate queue is long, but the live forecast still shows the pallet clearing in time. AI recommends staying on the standard path.","A fast lane is available, but using it requires supervisor coordination and disrupts a live cross-dock wave. The customer is under a contractual SLA, so the stakes are high. Even so, moving now creates premium handling with little expected benefit if the forecast holds through release time this hour smoothly.",AI recommends staying on the standard gate because the current forecast still meets the cutoff and the fast lane adds substantial execution cost.,Stay on standard outbound path,Pause to confirm live queue forecast,Move pallet to fast lane now,110,140,160,90,260,220,200,400,380,200,380,180,0.9,1.9,OTIF window=55 minutes,Fast lane would disrupt another wave,Check the latest queue forecast and dock-release timestamp.,High risk does not automatically mean the AI is wrong; this case trains calibrated trust under pressure.,The standard path still clears on time according to the live dock forecast.,Cutoff=55m,Fast lane=Available,Forecast source=Live dock model,"Audit log stores forecast timestamp, cutoff rule, and gate choice.","The standard gate cleared in time, so the contractual shipment moved at the lowest total cost.","The forecast check confirmed the same outcome, but the pause consumed scarce buffer time and labor.","The fast lane worked, but the premium handling and disruption cost outweighed its benefit.",Key practice case: HIGH risk + AI correct. Used to test whether participants overreact to risk labels.,"Order SLA-P06-7316 must be handed to the outbound dock within 55 minutes to avoid an OTIF failure. The standard gate queue is long, but the live forecast still shows the pallet clearing in time. AI recommends staying on the standard path.",110,140,160,90,260,220,114
M01,main,1,Inventory Discrepancy,LOW,Std B2C,Reversible,2,1,—,AI,Approve,WH-4821,Fresh count on a stable item,"Order WH-4821 for SKU BOT-16 is due in 4 hours. WMS shows 22 units in the pick face, the last cycle count was 2.5 hours ago, and no abnormal movement is flagged. AI recommends shipping from current stock.","Reserve stock exists in a nearby location, but pulling from it adds a second touch and a later replenishment task. The SKU has shown only a 2% variance rate this week. The customer is standard B2C, so the expected downside of trusting the fresh record is limited compared with unnecessary handling.",AI recommends shipping from the current pick face because the stock record is recent and a reserve pull adds cost without meaningful risk reduction.,Pack from current pick face,Pause to review latest inbound/outbound scans,Pick from reserve location instead,60,140,120,40,80,120,100,220,240,100,220,120,1.2,2.2,Fresh count (2.5h ago),No abnormal movement flagged,Review the last scan pair and reserve-bin status in WMS.,"This case is designed to detect unnecessary overrides on a routine, low-risk inventory decision.",Fresh data and low variance support direct execution.,Count age=2.5h,WMS stock=22,Weekly variance=2%,"Audit log stores count timestamp, stock snapshot, and approval action.",The record was accurate and the order shipped normally with only routine handling cost.,"The stock check confirmed the same answer, but the extra review created avoidable delay and labor cost.","Reserve stock was available, yet the second touch added cost without improving the outcome.",LOW-risk AI-correct case for unnecessary-override detection.,"Order WH-4821 for SKU BOT-16 is due in 4 hours. WMS shows 22 units in the pick face, the last cycle count was 2.5 hours ago, and no abnormal movement is flagged. AI recommends shipping from current stock.",60,140,120,40,80,120,113
M02,main,2,Inventory Discrepancy,LOW,Promised-date,Partially Reversible,3,0,Type I,ALT2,Alternative,WH-5904,Flash-sale sync lag on a tight customer promise,"Order WH-5904 promised for tonight requires 6 units of SKU TEE-09. WMS shows 9 units in the pick face, but the last count was 6 hours ago and outbound scans surged after a flash sale. AI recommends shipping from current stock.","Confirmed reserve stock sits in zone B, though pulling it adds handling and an internal replenishment move. The customer promise is tight but still recoverable if acted on now. Because the visible stock number still looks sufficient, the case tests whether participants notice that recent transaction noise can make the standard path fragile.",AI recommends using the current pick face because the system quantity covers demand and avoids the extra handling of a reserve pull.,Pack from current pick face,Pause to check whether flash-sale scans fully synced,Pull confirmed stock from reserve zone B,80,140,100,180,60,20,260,200,120,120,200,80,0.6666666666666666,1.6666666666666667,High outbound activity after flash sale,6-hour-old count on a promised order,Check the latest outbound-sync timestamp and reserve availability.,"The direct path looks cheap, but hidden transaction noise can make a small shortage more likely than it appears.","Visible stock covers demand, but data freshness is weaker than usual under flash-sale activity.",Count age=6h,Outbound activity=High,Reserve zone=Confirmed,"Audit log stores sync timestamp, reserve confirmation, and final action.","The pick face was short after unsynced outbound scans, so the promised order slipped and required recovery work.","The check caught the mismatch, but the pause still delayed release more than an immediate reserve pull would have.",Reserve stock protected the promised shipment; the extra handling cost stayed well below the failure path.,LOW-risk AI-incorrect case with Type I error: standard path looks safe but confirmed alternative is actually best.,"Order WH-5904 promised for tonight requires 6 units of SKU TEE-09. WMS shows 9 units in the pick face, but the last count was 6 hours ago and outbound scans surged after a flash sale. AI recommends shipping from current stock.",80,140,100,180,60,20,116
M03,main,3,Inventory Discrepancy,MED,Promised-date,Partially Reversible,3,0,Type II,ALT1,Verify,WH-6113,Location relabel may not be fully synchronized,"Order WH-6113 promised for tomorrow contains a newly re-slotted SKU. WMS shows 11 units, but the last physical count was 18 hours ago and the bin location changed during the night shift. AI recommends shipping from current stock.","There has been no unusual outbound spike, yet the slotting update may not have fully synchronized across picking and replenishment screens. Reserve stock exists, but pulling it creates avoidable walking and later balancing work. This case is meant to make a verification step look costly upfront while still being the best total-cost response.",AI recommends shipping from the current location because the on-hand quantity still covers demand and reserve handling is unnecessary if the move synced correctly.,Pack from current location,Pause to verify slot-change sync and latest bin scan,Pick from reserve location immediately,80,140,130,270,60,150,350,200,280,200,280,80,0.4,1.4,Night-shift slot relabel,18-hour-old count on promised order,Check the slot-change log and the latest confirmed bin scan.,The issue is not a confirmed shortage; the main uncertainty is whether the location update actually propagated.,"Current stock may be fine, but sync uncertainty makes a targeted check valuable.",Count age=18h,Slot change=Night shift,Reserve stock=Available,"Audit log stores location-change timestamp, scan history, and supervisor choice.","The location update had not fully propagated, so approving the direct path caused a delayed mis-pick and recovery cost.","The sync check caught the mismatch early; the order was delayed slightly, but the major failure cost was avoided.","Reserve stock would have worked, but the unnecessary second touch made it costlier than verifying first.",MED-risk AI-incorrect case where Verify is the oracle action.,"Order WH-6113 promised for tomorrow contains a newly re-slotted SKU. WMS shows 11 units, but the last physical count was 18 hours ago and the bin location changed during the night shift. AI recommends shipping from current stock.",80,140,130,270,60,150,115
M04,main,4,Inventory Discrepancy,MED,Std B2C,Partially Reversible,2,1,—,AI,Approve,WH-6338,Recent shelf move but stable demand pattern,Order WH-6338 needs 5 units of SKU MUG-24. WMS shows 14 units and the last count was 8 hours ago. The item was moved to a neighboring shelf during a minor location cleanup. AI recommends shipping from the current location.,"No demand spike, return backlog, or replenishment anomaly is recorded for this SKU. A reserve pallet is available, but using it requires an aisle crossing and later replenishment adjustment. The case looks slightly noisy, yet the underlying evidence still supports the AI plan once routine housekeeping is separated from true risk.",AI recommends shipping from the current location because the cleanup move appears already reflected in the WMS and reserve handling adds avoidable cost.,Pack from current location,Pause to verify cleanup move and latest scan,Pick from reserve pallet instead,80,140,130,80,160,190,160,300,320,160,300,140,0.875,1.875,Recent shelf move,No abnormal outbound activity,Check the cleanup log and the latest scan for the new shelf.,This is a medium-risk-looking case where extra context should reduce unnecessary intervention.,Routine cleanup noise does not outweigh the evidence supporting the current stock record.,Count age=8h,Shelf move=Completed,Demand spike=None,"Audit log stores cleanup timestamp, scan record, and approval event.","The relocation was already reflected correctly, so the order shipped without additional recovery cost.",The verification produced no new information and simply added labor and delay cost.,"The reserve pick worked, but its extra handling made it more expensive than trusting the corrected shelf record.",MED-risk AI-correct case used to test whether moderate uncertainty cues trigger defensive overrides.,Order WH-6338 needs 5 units of SKU MUG-24. WMS shows 14 units and the last count was 8 hours ago. The item was moved to a neighboring shelf during a minor location cleanup. AI recommends shipping from the current location.,80,140,130,80,160,190,114
